itype,source,value
mal_file_name,FirstEnergy,Rhadamanthys.The
mal_file_name,FirstEnergy,coralraider-targets-socialmedia-accounts.json
mal_file_name,FirstEnergy,coralraider-targets-socialmedia-accounts.txt
mal_file_name,FirstEnergy,geographies.We
mal_file_name,FirstEnergy,emails.The
mal_md5,FirstEnergy,150dd450f343c7b1e3b2715eae3ed470c1c1fadf91f2048516315f1500a58ffa
mal_file_name,FirstEnergy,origin.D
mal_file_name,FirstEnergy,FoDHelper.exe
mal_file_name,FirstEnergy,sbieDll.dll
mal_file_name,FirstEnergy,spoolsv.pdbD
mal_file_name,FirstEnergy,accounts.They
mal_file_name,FirstEnergy,FirefoxCrashSevices.pdbD
mal_ip,FirstEnergy,118.71.64.18
mal_file_name,FirstEnergy,host.This
mal_file_name,FirstEnergy,analyzed.The
mal_file_name,FirstEnergy,Forfiles.exe
mal_file_name,FirstEnergy,etc.The
mal_file_name,FirstEnergy,below.The
mal_file_name,FirstEnergy,below.We
mal_file_name,FirstEnergy,openwith.exe
mal_file_name,FirstEnergy,r.bat
mal_file_name,FirstEnergy,dialer.exe
